Decision-Maker,++,+,0,-,--,Target (Y/N),Based on,Confidence,Evidence items,Profile,Comments,Actual vote,Evaluate
"Sir Lindsay Hoyle (Speaker, Chorley)",,,,1,,,"a speech, 5 years ago","thin (speeches only, and few of them directional)",3,mp-votes.html#mp-467,"2024-07-17 DEBATE: Spoke:  King’s Speech (re: border security) ""My Government will seek to strengthen the border and make streets safer. A Bill will be introduced to modernise the asylum and immigration system, establishing a new Border Security Command and delivering enhanced counter terror powers to tackle organised..."" [0: Procedural reading of King's Speech text, no personal stance expressed] | 2022-05-10 DEBATE: Spoke:  Queen’s Speech (re: Channel crossing) ""Her Majesty’s Government will introduce legislation to improve the regulation of social housing to strengthen the rights of tenants and ensure better quality, safer homes. Legislation will also be introduced to ban conversion therapy. Proposals will be..."" [0: Reads out King's Speech content announcing conversion therapy ban, no personal stance given] | 2021-05-11 DEBATE: Spoke: Queen’s Speech (re: conversion therapy) ""Measures will be brought forward to address racial and ethnic disparities and ban conversion therapy."" [-: States support for bringing forward legislation to ban conversion therapy]",,
"Ashley Dalton (Labour, West Lancashire)",,,,1,,,"a speech, 2 years ago",thin (only 2 evidence items on record),2,mp-votes.html#mp-4981,"2024-04-25 DEBATE: Spoke: Lesbian Visibility Week (re: conversion therapy) ""There are still many disparities and discriminations here at home. The Government cannot seem to decide whether or not to bring forward a Bill to ban conversion therapy. Two weeks ago, it was reported that the Prime Minister was killing it off, but a week..."" [-: Criticises delay in bringing forward conversion therapy ban Bill] | 2024-03-07 DEBATE: Spoke: LGBT History Month (re: conversion therapy) ""It appears that the Government have no immediate plans to bring a ban on conversion practices to the House. Will the Minister tell us whether he supported the Bill last Friday? The Government may choose to sit on their draft conversion therapy Bill for fear..."" [-: Pressures government to advance conversion therapy ban, against therapy/religious freedom concerns]",,
"Chris Bryant (Labour, Rhondda and Ogmore)",,,,1,,,"a speech, 14 months ago",thin (only 2 evidence items on record),2,mp-votes.html#mp-1446,"2025-06-23 DEBATE: Spoke:  Pride Month (re: Stonewall) ""We are also strengthening healthcare services for trans people. We are launching a review of gender identity services to ensure they meet modern standards of equality, safety and accessibility. That includes reducing waiting times, expanding service capacity..."" [-: Pride Month speech defending trans people from perceived attacks, contrary to gender critical stance] | 2023-06-15 DEBATE: Spoke:  Business of the House (re: conversion therapy) ""What I really want is a debate on Conservative Members’ understanding of the concept of time, because the right hon. Member for Mid Bedfordshire (Ms Dorries) said that she was resigning with immediate effect, and the Government said last October that they..."" [-: Presses government to speed up conversion therapy ban legislation]",,
"Preet Kaur Gill (Labour (Co-op), Birmingham Edgbaston)",,,,1,,,"a question, 6 years ago",thin (only 2 evidence items on record),2,mp-votes.html#mp-4603,"2020-06-05 PQ: Conversion Therapy ""Conversion Therapy"" [-: Questions adequacy of law to end conversion therapy, favouring a ban] | 2020-06-05 PQ: Conversion Therapy ""Conversion Therapy"" [-: Pushes for timetable to end conversion therapy, opposing CitizenGO concerns]",,
"Ben Maguire (Liberal Democrat, North Cornwall)",,,,1,,,"a speech, 14 months ago",thin (only 1 evidence item on record),1,mp-votes.html#mp-5350,"2025-06-23 DEBATE: Spoke:  Pride Month (re: conversion therapy) ""To conclude, I urge the Minister to provide this House with an update on what steps he is taking to reassure the trans community that it will continue to receive protections and safe spaces following the Equality and Human Rights Commission guidance, which..."" [-: Calls for continued trans protections post-EHRC guidance, opposing CitizenGO's concerns on conversion bans]",,
"Feryal Clark (Labour, Enfield North)",,,,1,,,"a question, 5 years ago",thin (only 1 evidence item on record),1,mp-votes.html#mp-4822,"2021-11-26 PQ: Conversion Therapy: Crime ""Conversion Therapy: Crime"" [-: Supports criminalising aiding conversion therapy removal, against therapy freedom concerns]",,
"Kerry McCarthy (Labour, Bristol East)",,,,1,,,"a speech, 3 years ago",thin (only 1 evidence item on record),1,mp-votes.html#mp-1491,"2023-11-08 DEBATE: Spoke: Breaking Down Barriers to Opportunity (re: conversion therapy) ""It is not as if this is a Government bursting with ideas, full of ambition and struggling to find space in the parliamentary timetable for all the urgent and inspirational things they want to do. We will have to wait for next year’s King’s Speech for that...."" [-: Criticises delay of conversion therapy ban legislation, favouring its passage]",,
"Kim Leadbeater (Labour, Spen Valley)",,,,1,,,"a question, 8 months ago",thin (only 1 evidence item on record),1,mp-votes.html#mp-4923,"2025-12-19 PQ: Conversion Therapy ""Conversion Therapy"" [-: Pushes for swift trans-inclusive conversion therapy ban, against therapy/religious freedom concerns]",,
"Lilian Greenwood (Labour, Nottingham South)",,,,1,,,"a question, 5 years ago",thin (only 1 evidence item on record),1,mp-votes.html#mp-4029,"2021-06-17 PQ: Conversion Therapy ""Conversion Therapy"" [-: Repeats push for survivor-led conversion therapy ban consultation]",,
"Mr Alex Barros-Curtis (Labour, Cardiff West)",,,,1,,,"a question, 19 months ago",thin (only 1 evidence item on record),1,mp-votes.html#mp-5175,"2025-02-04 PQ: Conversion Therapy ""To ask the Minister for Women and Equalities, what progress she has made on bringing forward the Conversion Practices Bill to ban conversion therapy for LGBTQ+ people; and whether there is a timeline for its introduction."" [-: Presses government to expedite conversion practices ban, favouring the ban]",,
"Mr Tanmanjeet Singh Dhesi (Labour, Slough)",,,,1,,,"a speech, 5 years ago",thin (only 1 evidence item on record),1,mp-votes.html#mp-4638,"2021-07-01 DEBATE: Spoke:  Pride Month (re: conversion therapy) ""In each generation, the struggle for rights takes on new forms. I am in particular thinking about the struggle against so-called conversion therapy. The idea that someone’s sexuality should be subject to forceable conversion into something different is..."" [-: Frames conversion therapy ban positively as rights struggle, against CitizenGO's caution on such bans]",,
"Rebecca Long Bailey (Labour, Salford)",,,,1,,,"a speech, 3 years ago",thin (only 1 evidence item on record),1,mp-votes.html#mp-4396,"2023-11-13 DEBATE: Spoke: Building an NHS Fit for the Future (re: conversion therapy) ""The mental health Bill was abandoned yet again, despite being a manifesto promise in 2017 and 2019, and despite there being a clear mental health crisis. There was no conversion therapy ban, despite it being promised repeatedly by the Government."" [-: Criticises government for failing to deliver promised conversion therapy ban]",,
"Rishi Sunak (Conservative, Richmond and Northallerton)",,,,1,,,"a speech, 3 years ago",thin (only 1 evidence item on record),1,mp-votes.html#mp-4483,"2023-07-19 DEBATE: Spoke: Engagements (re: conversion therapy) ""I thank my hon. Friend for her question. I agree with her that conversion therapy is an abhorrent practice, and we need to do everything we can to stamp it out wherever we see it. The Minister for Women and Equalities, my right hon. Friend the Member for..."" [-: Calls conversion therapy abhorrent and vows to stamp it out, favouring a ban]",,
"Tim Roca (Labour, Macclesfield)",,,,1,,,"a speech, 3 months ago",thin (only 1 evidence item on record),1,mp-votes.html#mp-5287,"2026-06-04 DEBATE: Spoke:  Pride Month (re: conversion practices) ""Before I turn to some of my concerns, let me say a little of the good. I am proud to have supported my hon. Friend the Member for North Warwickshire and Bedworth (Rachel Taylor) in her campaign to make LGBT+ hate crimes aggravated offences that carry tougher..."" [-: Praises LGBT+ hate crime campaign and Pride Month, supporting LGBT rights expansion]",,
"Victoria Collins (Liberal Democrat, Harpenden and Berkhamsted)",,,,1,,,"a question, 14 months ago",thin (only 1 evidence item on record),1,mp-votes.html#mp-5201,"2025-07-07 PQ: Conversion Therapy ""Conversion Therapy"" [-: Pushes for progress on conversion practices ban, against therapy/religious freedom concerns]",,
"Wes Streeting (Labour, Ilford North)",,,,1,,,"a speech, 4 years ago",thin (only 1 evidence item on record),1,mp-votes.html#mp-4504,"2022-05-16 DEBATE: Spoke: Making Britain the Best Place to  Grow Up and Grow Old (re: conversion therapy) ""My hon. Friend the Member for City of Chester (Christian Matheson) gave a tub-thumping speech rightly asking where the employment Bill is and the promised employment rights that have failed to materialise. He also made a powerful argument for a full ban on..."" [-: Approvingly reports colleague's argument for a full conversion therapy ban]",,
"Will Stone (Labour, Swindon North)",,,,1,,,"a question, 7 weeks ago",thin (only 1 evidence item on record),1,mp-votes.html#mp-5035,"2026-07-06 PQ: Conversion Therapy ""Conversion Therapy"" [-: Seeks narrower healthcare exemption, weakening therapy freedom protections]",,
"Alicia Kearns (Conservative, Rutland and Stamford)",,,,,1,,"a speech, 2 years ago","moderate (consistent speeches, but no vote on record)",22,mp-votes.html#mp-4805,"2024-03-01 DEBATE: Spoke:  Conversion Practices (Prohibition) Bill ""Conversion Practices (Prohibition) Bill"" [--: Strongly advocates banning conversion therapy, opposing therapy freedom concerns] | 2024-03-01 DEBATE: Spoke:  Conversion Practices (Prohibition) Bill ""Conversion Practices (Prohibition) Bill"" [--: Strongly champions Conversion Practices Bill, dismisses opponents' concerns] | 2024-03-01 DEBATE: Spoke:  Conversion Practices (Prohibition) Bill ""On 31 January 2023 I tabled an amendment to the Online Safety Bill on conversion therapy. We had the numbers, but I told the Government that if they said in a written ministerial statement and on the Floor of this House that they would commit to..."" [--: Champions swift statutory ban on conversion practices, pressuring government to deliver it] | 2023-07-19 DEBATE: Spoke: Engagements (re: conversion therapy) ""Conversion therapy is quackery packaged up by bigots seeking to promote their hate and to profit from it. On 19 January, a Minister promised at the Dispatch Box to bring forward a ban against conversion therapy and ensure that pre-legislative scrutiny was..."" [--: Calls conversion therapy quackery by bigots and urges swift ban, opposing therapy freedom concerns] | 2023-06-19 PQ: Conversion Therapy ""Conversion Therapy"" [-: Asks about introducing ban bill this term, opposes CitizenGO's conversion therapy position] | 2023-06-19 PQ: Conversion Therapy ""Conversion Therapy"" [-: Demands recent steps on banning conversion therapy, against CitizenGO's freedom concerns] | 2023-06-19 PQ: Conversion Therapy ""Conversion Therapy"" [-: Seeks acceleration of pre-legislative scrutiny for ban, opposes CitizenGO's stance] | 2023-03-16 DEBATE: Spoke:  Business of the House (re: conversion therapy) ""Sexual orientation is not a pathology, and it does not need treating. Conversion therapy is quackery by charlatans, who package it up to try to hide their bigotry. The Leader of the House has been incredibly supportive of my proposed ban on conversion..."" [--: Actively pushes for conversion therapy ban, dismisses therapy concerns as bigotry] | 2023-03-16 PQ: Conversion Therapy ""Conversion Therapy"" [0: Neutral inquiry about scrutiny timeline for conversion therapy bill] | 2023-03-06 PQ: Conversion Therapy ""Conversion Therapy"" [-: Pushes government to advance conversion therapy ban legislation] | 2023-01-17 DEBATE: Spoke:  Gender Recognition Reform (Scotland) Bill: Section 35 Power ""Gender Recognition Reform (Scotland) Bill: Section 35 Power"" [-: Takes credit for delivering conversion therapy ban, opposing CitizenGO's concerns on such bans] | 2022-12-02 PQ: Conversion Therapy ""Conversion Therapy"" [-: Pushes government to hasten a broad conversion therapy ban, against CitizenGO's caution] | 2022-11-03 PQ: Conversion Therapy ""Conversion Therapy"" [0: Neutral timetable inquiry on conversion therapy ban progress] | 2022-06-13 DEBATE: Spoke: Transgender Conversion Therapy ""The Cass review, which many cite as a reason to exclude transgender people from a ban, is unequivocal. It calls for expanded support for trans healthcare and better service provision. Hilary Cass has said that her work does not impede the bringing forward of..."" [--: Strongly supports broad conversion therapy ban, dismisses therapy freedom concerns] | 2022-06-13 DEBATE: Spoke: Transgender Conversion Therapy ""Transgender Conversion Therapy"" [-: Downplays concerns about rushing minors into gender treatment, minimising safeguarding worries] | 2021-11-26 PQ: Conversion Therapy: Transgender People ""Conversion Therapy: Transgender People"" [0: Neutral factual query referencing conversion therapy consultation and clinical guidance] | 2021-03-17 PQ: Gay Conversion Therapy ""Gay Conversion Therapy"" [-: Explores merits of foreign conversion therapy bans, leaning toward supporting a ban] | 2021-03-08 DEBATE: Spoke:  LGBT Conversion Therapy ""Finally, some opponents claim that transgender individuals should be removed from the legislation. It is quite straightforward to introduce a safeguard for professionally accredited individuals who can assist persons considering undergoing a gender..."" [--: Strongly advocates for a conversion therapy ban, dismissing consent and religious objections] | 2021-02-02 PQ: Development Aid: Conversion Therapy ""Development Aid: Conversion Therapy"" [0: Factual question on which countries UK supports ending conversion therapy] | 2020-09-23 DEBATE: Spoke: Topical Questions (re: conversion therapy) ""I am grateful to my right hon. Friend, as well as to the Secretary of State for Health and Social Care and the Prime Minister, for backing my campaign to end the abhorrent practice of so-called LGBT conversion therapy. Will my right hon. Friend kindly update..."" [--: Campaigns for legislation banning conversion therapy, urging swift government action] | 2020-09-01 DEBATE: Spoke: Topical Questions (re: conversion therapy) ""LGBT so-called conversion therapy is an abhorrent and fraudulent practice, so please will my right hon. Friend confirm to me and all my Conservative colleagues across the House who care deeply about this issue that he will do all he can to end this abusive..."" [--: Presses government to swiftly ban conversion therapy, opposing therapy/religious freedom concerns] | 2020-06-15 PQ: Coronavirus Job Retention Scheme (re: conversion therapy) ""To ask the Minister for Women and Equalities, what assessment she has made of the implications for her policies of (a) the UK Council of Psychotherapy Conversion Therapy Consensus Statement, published in June 2014, and (b) the decisions of the governments"" [0: References conversion therapy consensus statement, direction unclear from text]",,
"Anneliese Dodds (Labour (Co-op), Oxford East)",,,,,1,,"a speech, 3 years ago","thin (consistent speeches, but no vote on record; 2 contrary items on record)",22,mp-votes.html#mp-4657,"CONFLICTING SIGNALS - review all evidence | 2023-12-06 DEBATE: Spoke: Conversion Practices ""I am grateful to the hon. Gentleman for raising those issues. However, they are distinct from a ban on the practice of conversion therapy. I will come back to the exact drafting and how a ban should operate. I am slightly surprised that no one has mentioned..."" [+: Urges caution, deferring to Cass Review before acting on youth gender treatment issues] | 2023-12-06 DEBATE: Spoke: Conversion Practices ""I am grateful to the hon. Member, but I will not take any more interventions—I am conscious that there are others who need to speak. The point about surgical and medical interventions is precisely what the Cass review has been working on. I will come to the..."" [--: Criticises government for delaying ban on 'abusive' conversion practices, pushing for ban] | 2023-12-06 DEBATE: Spoke: Conversion Practices ""We have been here before, and we have already heard all the excuses for the lack of action. Eighteen months ago, I asked whether the Government had gathered any evidence about the impact of a well-drafted ban on conversion practices on the provision of..."" [-: Presses government to speed up a conversion practices ban, favouring legislation CitizenGO is wary of] | 2023-12-06 DEBATE: Spoke: Conversion Practices ""A ban would not cover quiet conversations and friendships, contrary to the claims of the right hon. Member for South Holland and The Deepings (Sir John Hayes). A ban would not cover discussions within families, which are based on the need for love and..."" [-: Defends conversion practices ban, downplaying religious and pastoral freedom concerns] | 2023-12-06 DEBATE: Spoke: Conversion Practices ""I do not know how others are feeling, but I have to confess to a certain sense of déjà vu. Just 18 months ago, we were in this Chamber considering a Petitions Committee debate on transgender conversion therapy. That debate, like this one, featured..."" [--: Strongly pushes for swift ban on conversion practices, opposing therapy/religious freedom concerns] | 2023-12-06 DEBATE: Spoke: Conversion Practices ""Conversion Practices"" [--: Dismisses concerns over chilling effect of trans-inclusive conversion therapy ban] | 2023-12-06 DEBATE: Spoke: Gender Recognition (re: conversion practices) ""Let me be clear: Labour wants to modernise the Gender Recognition Act while making sure that that does not override the single-sex exemptions in the Equality Act. We recognise that sex and gender are different, as the Equality Act does, but I am afraid the..."" [--: Attacks government for delaying a conversion practices ban, pushing for its enactment] | 2023-10-25 DEBATE: Spoke: LGBT People (re: conversion therapy) ""Almost 2,000 days have passed since the Government first promised to ban conversion therapy, and 533 days have passed since a conversion therapy Bill was promised in the last Queen’s Speech. The delays are not this Minister’s responsibility; according to the..."" [--: Pressures government to commit to full loophole-free conversion therapy ban] | 2023-06-15 DEBATE: Spoke: Pride Month (re: conversion therapy) ""We need to tackle the issues around LGBT+ healthcare as well. We will ensure that we have one of the biggest expansions of the NHS workforce in history so that everyone, including LGBT+ people, can access the treatment that they need on time. We will heed the..."" [-: Advocates comprehensive conversion practices ban, contrary to concerns over therapy freedom] | 2023-06-07 DEBATE: Spoke: Trans and Non-binary Children (re: conversion therapy) ""We have had noises off and rumours about this in the newspapers for over a year, and still no delivery. The sad truth is that schools are being left in limbo by a Government who are, yet again, focused on internal battles. Their LGBT action plan has..."" [-: Criticises Government delay in banning conversion therapy, urging faster ban] | 2023-03-16 PQ: Conversion Therapy ""Conversion Therapy"" [0: Neutral timing question about legislative proposals] | 2023-03-16 PQ: Conversion Therapy ""Conversion Therapy"" [0: Procedural question about departmental sponsorship, no direction shown] | 2023-02-02 DEBATE: Spoke: LGBT History Month (re: GRA reform) ""The next Labour Government will break new ground by introducing a full, trans-inclusive ban on conversion therapy, and we will do so without putting legitimate talking therapies at risk. We will fix the historic injustice by equalising the law so that crimes..."" [--: Endorses trans-inclusive conversion therapy ban, opposing therapy freedom concerns] | 2023-02-02 PQ: Conversion Therapy ""Conversion Therapy"" [0: Procedural request for legislative timetable, no direction indicated] | 2022-06-30 DEBATE: Spoke:  50 Years of Pride in the UK (re: conversion therapy) ""This is an international embarrassment. It shows that the Government need to rethink their approach on this issue, but so far we have not seen that. As has been mentioned, even the proposals to ban conversion therapy on the basis of sexual orientation still..."" [--: Criticises government for weak conversion therapy ban proposals, pushing for stronger ban] | 2022-06-30 DEBATE: Spoke:  50 Years of Pride in the UK (re: Gender Recognition Act) ""We will strengthen and equalise the law so that LGBT+ hate crimes attract the tougher sentences they deserve; they are not currently treated on a level playing field. We will ban all forms of conversion therapy outright, including trans conversion therapy,..."" [--: Champions LGBT+ strategy, trans healthcare and GRA reform, opposing single-sex space protections] | 2022-06-13 DEBATE: Spoke: Transgender Conversion Therapy ""It is imperative that a trans-inclusive ban must not have an impact on the provision of services for children and young people. Indeed, the interim Cass review has highlighted the extent to which there is a disturbing lack of support and healthcare for..."" [-: Supports trans-inclusive conversion therapy ban, despite seeking careful wording and family carve-outs] | 2022-06-13 DEBATE: Spoke: Transgender Conversion Therapy ""Transgender Conversion Therapy"" [--: Celebrates Pride and criticises government retreat from conversion therapy ban plans] | 2022-06-13 DEBATE: Spoke: Transgender Conversion Therapy ""Transgender Conversion Therapy"" [--: Advocates for trans-inclusive conversion therapy ban with no carve-outs, opposing CitizenGO's therapy freedom concerns] | 2022-05-23 DEBATE: Spoke: Legal Recognition of Non-binary  Gender Identities (re: Cass Review) ""Of course, we are discussing the matter in the context of the Government rowing back on their commitment to adopt a ban on conversion therapy that would cover trans people. Let me be crystal clear. Such a ban must not cover psychological support and..."" [+: Argues conversion therapy ban must exempt non-directive counselling and pastoral support, protecting therapeutic freedom] | 2022-03-28 PQ: Conversion Therapy ""Conversion Therapy"" [0: Seeks data on conversion therapy impact, information gathering not directional] | 2022-02-21 DEBATE: Spoke: Gender Recognition Act ""It is important that we do not conflate gender with sex. We did slide into that quite a number of times during the discussion. We must not conflate gender reassignment with sexuality—it also felt like that took place at certain points. When we have that..."" [-: Frames trans identity as beyond debate, minimises concerns underlying single-sex space and therapy protections]",,
"Dame Nia Griffith (Labour, Llanelli)",,,,,1,,"a speech, 16 months ago","moderate (consistent speeches, but no vote on record; 1 contrary item on record)",18,mp-votes.html#mp-1541,"CONFLICTING SIGNALS - review all evidence | 2026-02-12 DEBATE: Spoke: LGBT+ History Month (re: Crime and Policing) ""Research by the TUC into harassment, bullying and prejudice of LGBT+ people in the workplace revealed that over half of respondents, rising to 80% of trans respondents, have been subject to one of those. There should be no rolling back of equality, diversity..."" [-: Champions LGBT+ rights expansion and trans community, against CitizenGO's cautious stance] | 2025-04-24 DEBATE: Spoke: Lesbian Visibility Week (re: conversion practices) ""As we continue to work towards meaningful visibility and equality, it is also essential that we have legal clarity on the rights of women, including lesbian women, to single-sex spaces and services. Last week’s ruling by the Supreme Court in the case of For..."" [--: Praises the conversion practices ban and LGBT rights framing, opposing CitizenGO's concerns] | 2025-02-13 DEBATE: Spoke:  LGBT+ History Month (re: Cass Review) ""In 2018, the previous Government introduced LGBT+ people into the relationships, sex and health education curriculum. The reality of diverse family types would, in stark contrast to section 28, be taught as a fact of life in modern Britain. As the House is..."" [0: Discusses RSHE review and Cass review neutrally, no clear stance on youth gender medicine or single-sex spaces] | 2025-02-13 DEBATE: Spoke:  LGBT+ History Month (re: puberty blocker) ""My hon. Friend the Member for Jarrow and Gateshead East (Kate Osborne) was quick to remind us how proud she is of her diversity and of the importance of activism in stopping attitudes backsliding. I was sorry to hear of the unfortunate happenings after the..."" [--: Confirms government's commitment to a fully trans-inclusive conversion practices ban] | 2025-02-13 DEBATE: Spoke:  LGBT+ History Month (re: decriminalis) ""I am proud to say that the history of LGBT+ rights in this country is intertwined with the history of Labour in government. It was a Labour Government who decriminalised homosexuality in 1967, and a Labour Government who equalised the age of consent in 2000..."" [--: Celebrates LGBT rights milestones including same-sex marriage and Gender Recognition Act] | 2023-11-29 DEBATE: Spoke:  Section 28 Repeal: 20th Anniversary (re: conversion therapy) ""Will the Minister’s Government now make time to bring forward legislation for an outright ban on all forms of so-called gay conversion therapy to protect all LGBT+ people from this abhorrent practice, or agree to give full support and speedy passage to a..."" [--: Calls for outright ban on all conversion therapy and easier gender recognition process] | 2023-11-29 DEBATE: Spoke:  Section 28 Repeal: 20th Anniversary (re: Gender Recognition Act) ""Thankfully, the Labour Governments of 1997 to 2010 faced down fierce opposition and championed LGBT rights, including by repealing section 28. Not only did Labour repeal section 28, with the repeal taking effect on 18 November 2003, but we achieved an equal..."" [-: Celebrates repeal of Section 28 and equal marriage, departing from traditional marriage framing] | 2022-11-30 DEBATE: Spoke: Conversion Therapy: Legislation ""Conversion Therapy: Legislation"" [--: Pushes hard for swift comprehensive conversion therapy ban including trans protections] | 2022-11-30 DEBATE: Spoke: Conversion Therapy: Legislation ""Conversion Therapy: Legislation"" [0: Neutral procedural question about timetable for conversion therapy legislation] | 2022-06-13 DEBATE: Spoke: Transgender Conversion Therapy ""Transgender Conversion Therapy"" [--: Strongly advocates trans-inclusive conversion therapy ban, opposing therapy freedom concerns] | 2022-01-26 PQ: Conversion Therapy: Canada ""Conversion Therapy: Canada"" [0: Neutral comparative policy assessment query] | 2022-01-26 PQ: Conversion Therapy ""Conversion Therapy"" [0: Neutral query on consistency across devolved nations] | 2022-01-25 PQ: Conversion Therapy ""Conversion Therapy"" [-: Probes impact of consent exemption, suggesting scepticism of therapy freedom carve-outs] | 2022-01-25 PQ: Conversion Therapy ""Conversion Therapy"" [-: Questions consent defence, implying support for broader ban without exemptions] | 2022-01-25 PQ: Conversion Therapy: France ""Conversion Therapy: France"" [+: Highlights exclusion of provision, implying concern over scope of France's ban] | 2022-01-20 DEBATE: Spoke:  Business of the House (re: conversion therapy) ""It is now over three years since the Prime Minister promised to ban the abhorrent practice of gay conversion therapy, so when will the Government act decisively and bring forward legislation to ban the practice and ensure that the legislation, like that..."" [--: Urges strict conversion therapy ban with no consent loopholes, opposing CitizenGO's freedom concerns] | 2022-01-12 PQ: Conversion Therapy ""Conversion Therapy"" [0: Neutral procedural question on consultation progress, no direction shown] | 2013-06-11 EDM-SIGNED: Signed EDM: GAY-TO-STRAIGHT CONVERSION THERAPY IN THE UK [--: Calls for banning conversion therapy for under-18s, opposing therapy freedom]",,
"Kate Osborne (Labour, Jarrow and Gateshead East)",,,,,1,,"a speech, 3 months ago","moderate (consistent speeches, but no vote on record)",15,mp-votes.html#mp-4783,"2026-05-14 DEBATE: Spoke: Getting Britain Working Again (re: digital ID) ""I am hugely pleased to see in the Gracious Speech a commitment to bring forward a draft Bill banning abusive conversion practices. While it has appeared in many a Gracious Speech, I firmly believe that the Minister will bring forward a fully trans-inclusive..."" [--: Praises upcoming trans-inclusive conversion practices ban, opposing CitizenGO's cautious position] | 2026-02-12 DEBATE: Spoke: LGBT+ History Month (re: conversion practices) ""I thank the Minister for her support, for the many productive conversations that we have had, and for her work to introduce a ban on conversion practices and make LGBT hate crime an aggravated offence."" [--: Thanks minister for introducing ban on conversion practices] | 2025-02-13 DEBATE: Spoke:  LGBT+ History Month (re: Stonewall) ""I am proud that it was Labour that lifted the ban on lesbians, gay men and bi people serving in the armed forces, and introduced civil partnerships and laws to allow unmarried couples, including same-sex couples, to apply for joint adoption. I am proud that..."" [-: Celebrates redefinition of marriage and family via civil partnerships and same-sex adoption] | 2024-12-18 DEBATE: Spoke: Banning Conversion Practices ""Banning Conversion Practices"" [--: Calls conversion therapy abhorrent, demands fully inclusive ban with no exceptions] | 2023-11-09 DEBATE: Spoke: Making Britain a Clean Energy Superpower (re: conversion therapy) ""“conversion practices are abhorrent and need to be stamped out.”"" [--: Actively pushes amendment to force through a full conversion therapy ban] | 2023-11-09 DEBATE: Spoke: Making Britain a Clean Energy Superpower (re: conversion therapy) ""The Government’s failure to ban so-called conversion therapy shows a vile disregard for LGBTQ+ people living in this country. So-called conversion therapy is not therapy; people cannot consent to abuse. The decision to leave LGBTQ+ people suffering that..."" [--: Strongly condemns failure to ban conversion therapy as disregard for LGBTQ+ people] | 2023-10-24 DEBATE: Spoke: IVF Provision ""Ministers have failed to keep their promise to ban so-called conversion therapy in full, allowing the barbaric practice to continue. As for IVF for same-sex couples, we are still waiting for the Government to keep their promise to remove the discriminatory..."" [--: Criticises government for not banning conversion therapy in full, opposing CitizenGO's concerns] | 2022-06-13 DEBATE: Spoke: Transgender Conversion Therapy ""Transgender Conversion Therapy"" [--: Strongly advocates broad conversion therapy ban including trans people, opposing exemptions] | 2022-06-13 DEBATE: Spoke: Transgender Conversion Therapy ""Transgender Conversion Therapy"" [--: Strongly advocates banning conversion therapy for all including transgender people] | 2022-03-30 DEBATE: Spoke: Conversion Therapy Ban ""Conversion Therapy Ban"" [-: Pushes to close 'consent loophole' in conversion therapy ban, opposing exemptions CitizenGO favours] | 2022-03-30 DEBATE: Spoke: Conversion Therapy Ban ""Conversion Therapy Ban"" [0: Neutral factual question on legislative timetable] | 2021-11-24 DEBATE: Spoke: Conversion Therapy Ban: Faith-based Settings ""The national LGBT survey found that 51% of conversion therapy happens in religious settings and Government-commissioned research found that adult victims often undertake religious conversion practices voluntarily, so the Government’s proposal to allow..."" [--: Pushes to close consent loophole and cover prayer in conversion ban, threatening religious freedom protections] | 2021-11-24 DEBATE: Spoke: Conversion Therapy Ban: Faith-based Settings ""8. Whether she plans to bring forward legislative proposals to ban sexual orientation and gender identity conversion therapy that occurs in religious or faith-based settings through prayer healing, faith declarations, religious conversion courses and other..."" [--: Question pushes for banning conversion practices in religious settings] | 2021-05-26 DEBATE: Spoke: Topical Questions (re: conversion therapy) ""How will the Secretary of State ensure that the voices of survivors of so-called conversion therapy and the people who support them will be heard in the consultation on a Bill to outlaw all conversion therapies, which have no place in all settings and all..."" [--: Explicitly backs banning all conversion therapy regardless of consent, opposing therapy freedom concerns] | 2020-06-04 EDM-SIGNED: Signed EDM: LGBTQ+ conversion therapy in the UK [--: Calls for full criminal ban on conversion therapy including sending people abroad]",,
