FIVE COLUMNS ANALYSIS (ONLY IF APPROPRIATE)
PLAN STAGE,,,,,,,,,EVALUATE STAGE,
Decision-Maker,# Seats,"""++""","""+""","""0""","""-""","""--""",Target (Y/N),Comments,Vote (Y/N),Comments
"Munira Wilson (Liberal Democrat, Twickenham)",,1,0,0,0,0,,"CONFLICTING SIGNALS - review all evidence | 2026-09-11 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Second Reading [++: Tracker sign-off (assisted-suicide-2026 side no): Voted to stop the Bill at its first Commons hurdle, defeating it; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Third Reading [++: Tracker sign-off (assisted-suicide side no): Voted to reject the Bill at its final Commons stage; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Amendment 94 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Amendment 77 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment 12 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment 24 [++: Tracker sign-off (assisted-suicide side aye): Supported Daniel Francis's amendment requiring a person's mental capacity to be established, rather than presumed, before they could be found eligible; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: New Clause 16 [++: Tracker sign-off (assisted-suicide side aye): Supported Rebecca Paul's clause making a person ineligible if their wish was substantially motivated by feeling a burden, a mental disorder, a disability, financial considerations, lack of access to care, or suicidal ideation; free vote] | 2025-06-20 DEBATE: Spoke: Terminally Ill Adults (End of Life) Bill ""Terminally Ill Adults (End of Life) Bill"" [+: Raises serious concerns about care system readiness for assisted dying, leaning cautious] | 2025-06-13 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: New Clause 2 [++: Tracker sign-off (assisted-suicide side aye): Supported Dame Meg Hillier's clause preventing health professionals from discussing assisted suicide with a person under 18 (added to the Bill); free vote] | 2025-06-13 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: New Clause 1 [++: Tracker sign-off (assisted-suicide side aye): Supported Dame Meg Hillier's clause preventing health professionals from raising assisted suicide with a patient unless the patient raised it first; free vote] | 2025-06-13 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment (b) to New Clause 14 [0: Amendment to end of life bill, effect unclear from title alone; free vote] | 2025-06-13 DEBATE: Spoke: Terminally Ill Adults (End of Life) Bill ""Terminally Ill Adults (End of Life) Bill"" [+: Backs amendments demanding transparency and limits on delegated powers in assisted dying bill] | 2025-06-13 DEBATE: Spoke: Terminally Ill Adults (End of Life) Bill ""Terminally Ill Adults (End of Life) Bill"" [++: Expresses grave concerns about assisted dying bill becoming law, citing inequalities and risks] | 2025-06-13 DEBATE: Spoke: Terminally Ill Adults (End of Life) Bill ""Terminally Ill Adults (End of Life) Bill"" [-: States not opposed to principle of assisted dying while raising process concerns] | 2025-02-11 DEBATE: Spoke: Mental Health Services (re: assisted dying) ""With the Terminally Ill Adults (End of Life) Bill being amended to include a panel that will involve psychiatrists who will determine whether a request for assisted dying should be granted, as well as a number of cross-party amendments rightly calling for the..."" [+: Raises capacity and safety concerns about implementing assisted dying process] | [evidence truncated]",,
"Sarah Olney (Liberal Democrat, Richmond Park)",,1,0,0,0,0,,"2026-09-11 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Second Reading [++: Tracker sign-off (assisted-suicide-2026 side no): Voted to stop the Bill at its first Commons hurdle, defeating it; free vote] | 2025-07-15 PQ: Terminally Ill Adults (End of Life) Bill ""Terminally Ill Adults (End of Life) Bill"" [0: Neutral factual funding query on assisted dying bill] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Third Reading [++: Tracker sign-off (assisted-suicide side no): Voted to reject the Bill at its final Commons stage; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Amendment 94 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Amendment 77 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment 12 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment 24 [++: Tracker sign-off (assisted-suicide side aye): Supported Daniel Francis's amendment requiring a person's mental capacity to be established, rather than presumed, before they could be found eligible; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: New Clause 16 [++: Tracker sign-off (assisted-suicide side aye): Supported Rebecca Paul's clause making a person ineligible if their wish was substantially motivated by feeling a burden, a mental disorder, a disability, financial considerations, lack of access to care, or suicidal ideation; free vote] | 2025-06-20 DEBATE: Spoke: Terminally Ill Adults (End of Life) Bill ""Remarkably, with the exception of amendments required to bring it into line with successive Human Fertilisation and Embryology Acts and to extend its provisions to Northern Ireland, the provisions that the Abortion Act brought into law have remained almost..."" [++: Strongly criticises assisted dying Bill's lack of scrutiny and unstable safeguards] | 2025-06-20 DEBATE: Spoke: Terminally Ill Adults (End of Life) Bill ""I am sorry, but I will make progress. We would all have been better served by asking a team of experts to evaluate the evidence, draw on their professional experience and come to a settled consensus among themselves on this point about mental capacity and,..."" [+: Criticises Bill's process and cites Royal College of Psychiatrists' opposition, favouring more scrutiny] | 2025-06-20 DEBATE: Spoke: Terminally Ill Adults (End of Life) Bill ""Terminally Ill Adults (End of Life) Bill"" [+: Raises doubts about practical feasibility of assisted dying safeguards] | 2025-06-20 DEBATE: Spoke: Terminally Ill Adults (End of Life) Bill ""Terminally Ill Adults (End of Life) Bill"" [+: Raises concern that assisted dying legislation conflicts with psychiatrists' professional guidance] | 2025-06-20 DEBATE: Spoke: Terminally Ill Adults (End of Life) Bill ""Terminally Ill Adults (End of Life) Bill"" [++: Urges MPs to vote against the assisted dying bill, warning it will fail and be unworkable] | 2025-06-13 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: New Clause 2 [++: Tracker sign-off (assisted-suicide side aye): Supported Dame Meg Hillier's clause preventing health professionals from discussing assisted suicide with a person under 18 (added to the Bill); free vote] | 2025-06-13 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: New Clause 1 [++: Tracker sign-off (assisted-suicide side aye): Supported Dame Meg Hillier's clause preventing health professionals from raising assisted suicide with a patient unless the patient raised it first; free vote] | [evidence truncated]",,
"Tim Farron (Liberal Democrat, Westmorland and Lonsdale)",,1,0,0,0,0,,"2026-09-11 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Second Reading [++: Tracker sign-off (assisted-suicide-2026 side no): Voted to stop the Bill at its first Commons hurdle, defeating it; free vote] | 2026-09-11 DEBATE: Spoke: Terminally Ill Adults (End of Life) Bill ""Terminally Ill Adults (End of Life) Bill"" [unscored] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Third Reading [++: Tracker sign-off (assisted-suicide side no): Voted to reject the Bill at its final Commons stage; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Amendment 94 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Amendment 77 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment 12 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment 24 [++: Tracker sign-off (assisted-suicide side aye): Supported Daniel Francis's amendment requiring a person's mental capacity to be established, rather than presumed, before they could be found eligible; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: New Clause 16 [++: Tracker sign-off (assisted-suicide side aye): Supported Rebecca Paul's clause making a person ineligible if their wish was substantially motivated by feeling a burden, a mental disorder, a disability, financial considerations, lack of access to care, or suicidal ideation; free vote] | 2025-06-13 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: New Clause 2 [++: Tracker sign-off (assisted-suicide side aye): Supported Dame Meg Hillier's clause preventing health professionals from discussing assisted suicide with a person under 18 (added to the Bill); free vote] | 2025-06-13 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: New Clause 1 [++: Tracker sign-off (assisted-suicide side aye): Supported Dame Meg Hillier's clause preventing health professionals from raising assisted suicide with a patient unless the patient raised it first; free vote] | 2025-06-13 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment (b) to New Clause 14 [0: Amendment to end of life bill, effect unclear from title alone; free vote] | 2025-05-16 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill Report Stage: Amendment (a) to New Clause 10 [++: Tracker sign-off (assisted-suicide side aye): Supported Rebecca Paul's amendment to extend the opt-out beyond individuals, so that employers and organisations such as hospices and care homes could decline to take part in assisted suicide; free vote] | 2025-05-16 DEBATE: Spoke: Terminally Ill Adults (End of Life) Bill ""Terminally Ill Adults (End of Life) Bill"" [++: Raises concern that assisted dying bill enables self-coercion among vulnerable people] | 2025-05-16 DEBATE: Spoke: Terminally Ill Adults (End of Life) Bill ""Terminally Ill Adults (End of Life) Bill"" [++: Raises coercive control risk to argue against assisted dying bill safety] | 2024-11-29 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Second Reading [++: Tracker sign-off (assisted-suicide side no): Voted to stop the Bill at its first Commons hurdle; free vote] | 2024-11-29 DEBATE: Spoke: Terminally Ill Adults (End of Life) Bill ""Terminally Ill Adults (End of Life) Bill"" [++: Argues no safeguards can prevent coercion, opposing assisted dying Bill] | [evidence truncated]",,
"Tom Morrison (Liberal Democrat, Cheadle)",,1,0,0,0,0,,"2026-09-11 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Second Reading [++: Tracker sign-off (assisted-suicide-2026 side no): Voted to stop the Bill at its first Commons hurdle, defeating it; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Third Reading [++: Tracker sign-off (assisted-suicide side no): Voted to reject the Bill at its final Commons stage; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Amendment 94 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Amendment 12 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2024-11-29 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Second Reading [++: Tracker sign-off (assisted-suicide side no): Voted to stop the Bill at its first Commons hurdle; free vote]",,
"Jamie Stone (Liberal Democrat, Caithness, Sutherland and Easter Ross)",,1,0,0,0,0,,"2026-09-11 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Second Reading [++: Tracker sign-off (assisted-suicide-2026 side no): Voted to stop the Bill at its first Commons hurdle, defeating it; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Third Reading [++: Tracker sign-off (assisted-suicide side no): Voted to reject the Bill at its final Commons stage; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Amendment 94 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Amendment 77 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment 12 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment 24 [++: Tracker sign-off (assisted-suicide side aye): Supported Daniel Francis's amendment requiring a person's mental capacity to be established, rather than presumed, before they could be found eligible; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: New Clause 16 [++: Tracker sign-off (assisted-suicide side aye): Supported Rebecca Paul's clause making a person ineligible if their wish was substantially motivated by feeling a burden, a mental disorder, a disability, financial considerations, lack of access to care, or suicidal ideation; free vote] | 2025-05-16 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill Report Stage: Amendment (a) to New Clause 10 [++: Tracker sign-off (assisted-suicide side aye): Supported Rebecca Paul's amendment to extend the opt-out beyond individuals, so that employers and organisations such as hospices and care homes could decline to take part in assisted suicide; free vote] | 2024-11-29 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Second Reading [++: Tracker sign-off (assisted-suicide side no): Voted to stop the Bill at its first Commons hurdle; free vote]",,
"Mr Angus MacDonald (Liberal Democrat, Inverness, Skye and West Ross-shire)",,1,0,0,0,0,,"2026-09-11 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Second Reading [++: Tracker sign-off (assisted-suicide-2026 side no): Voted to stop the Bill at its first Commons hurdle, defeating it; free vote] | 2026-06-23 DEBATE: Spoke:  Puberty Blockers ""Following the publication of the Cass review in 2024, the use of puberty blockers for gender dysphoria in children and young people was restricted by the then Secretary of State for Health due to an unacceptable safety risk, with their use limited to clinical..."" [++: Cites Cass review and public opposition to justify restricting puberty blockers for children] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Third Reading [++: Tracker sign-off (assisted-suicide side no): Voted to reject the Bill at its final Commons stage; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Amendment 94 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Amendment 77 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment 12 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment 24 [++: Tracker sign-off (assisted-suicide side aye): Supported Daniel Francis's amendment requiring a person's mental capacity to be established, rather than presumed, before they could be found eligible; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: New Clause 16 [++: Tracker sign-off (assisted-suicide side aye): Supported Rebecca Paul's clause making a person ineligible if their wish was substantially motivated by feeling a burden, a mental disorder, a disability, financial considerations, lack of access to care, or suicidal ideation; free vote] | 2025-05-16 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill Report Stage: Amendment (a) to New Clause 10 [++: Tracker sign-off (assisted-suicide side aye): Supported Rebecca Paul's amendment to extend the opt-out beyond individuals, so that employers and organisations such as hospices and care homes could decline to take part in assisted suicide; free vote] | 2024-11-29 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Second Reading [++: Tracker sign-off (assisted-suicide side no): Voted to stop the Bill at its first Commons hurdle; free vote]",,
"Ann Davies (Plaid Cymru, Caerfyrddin)",,1,0,0,0,0,,"CONFLICTING SIGNALS - review all evidence | 2026-09-11 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Second Reading [++: Tracker sign-off (assisted-suicide-2026 side no): Voted to stop the Bill at its first Commons hurdle, defeating it; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Third Reading [++: Tracker sign-off (assisted-suicide side no): Voted to reject the Bill at its final Commons stage; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Amendment 94 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Amendment 12 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Amendment 24 [--: Tracker sign-off (assisted-suicide side aye): Opposed removing the Mental Capacity Act presumption of capacity; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: New Clause 16 [++: Tracker sign-off (assisted-suicide side aye): Supported Rebecca Paul's clause making a person ineligible if their wish was substantially motivated by feeling a burden, a mental disorder, a disability, financial considerations, lack of access to care, or suicidal ideation; free vote] | 2025-06-13 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: New Clause 2 [++: Tracker sign-off (assisted-suicide side aye): Supported Dame Meg Hillier's clause preventing health professionals from discussing assisted suicide with a person under 18 (added to the Bill); free vote] | 2025-06-13 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: New Clause 1 [++: Tracker sign-off (assisted-suicide side aye): Supported Dame Meg Hillier's clause preventing health professionals from raising assisted suicide with a patient unless the patient raised it first; free vote] | 2025-06-13 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment (b) to New Clause 14 [0: Amendment to end of life bill, effect unclear from title alone; free vote] | 2024-11-29 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Second Reading [++: Tracker sign-off (assisted-suicide side no): Voted to stop the Bill at its first Commons hurdle; free vote]",,
"Andrew Rosindell (Reform UK, Romford)",,1,0,0,0,0,,"2026-09-11 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Second Reading [++: Tracker sign-off (assisted-suicide-2026 side no): Voted to stop the Bill at its first Commons hurdle, defeating it; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Third Reading [++: Tracker sign-off (assisted-suicide side no): Voted to reject the Bill at its final Commons stage; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Amendment 94 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Amendment 77 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment 12 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment 24 [++: Tracker sign-off (assisted-suicide side aye): Supported Daniel Francis's amendment requiring a person's mental capacity to be established, rather than presumed, before they could be found eligible; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: New Clause 16 [++: Tracker sign-off (assisted-suicide side aye): Supported Rebecca Paul's clause making a person ineligible if their wish was substantially motivated by feeling a burden, a mental disorder, a disability, financial considerations, lack of access to care, or suicidal ideation; free vote] | 2025-06-13 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: New Clause 2 [++: Tracker sign-off (assisted-suicide side aye): Supported Dame Meg Hillier's clause preventing health professionals from discussing assisted suicide with a person under 18 (added to the Bill); free vote] | 2025-06-13 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: New Clause 1 [++: Tracker sign-off (assisted-suicide side aye): Supported Dame Meg Hillier's clause preventing health professionals from raising assisted suicide with a patient unless the patient raised it first; free vote] | 2025-06-13 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment (b) to New Clause 14 [0: Amendment to end of life bill, effect unclear from title alone; free vote] | 2025-05-16 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill Report Stage: Amendment (a) to New Clause 10 [++: Tracker sign-off (assisted-suicide side aye): Supported Rebecca Paul's amendment to extend the opt-out beyond individuals, so that employers and organisations such as hospices and care homes could decline to take part in assisted suicide; free vote] | 2024-11-29 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Second Reading [++: Tracker sign-off (assisted-suicide side no): Voted to stop the Bill at its first Commons hurdle; free vote] | 2021-05-11 EDM-SIGNED: Signed EDM: At home abortions [++: Calls to end at-home abortion pills over safety and coercion concerns, pro-life aligned] | 2006-03-29 EDM-SIGNED: Signed EDM: ASSISTED DYING IN THE UK AND OVERSEAS [++: Opposes euthanasia lobby framing, defends disability rights against assisted dying]",,
"Danny Kruger (Reform UK, East Wiltshire)",,1,0,0,0,0,,"CONFLICTING SIGNALS - review all evidence | 2026-09-11 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Second Reading [++: Tracker sign-off (assisted-suicide-2026 side no): Voted to stop the Bill at its first Commons hurdle, defeating it; free vote] | 2025-12-18 PQ: Euthanasia: Scotland ""To ask the Secretary of State for Scotland, whether he has made an assessment with Cabinet colleagues of the potential impact of the Assisted Dying for Terminally Ill Adults (Scotland) Bill on NHS staff working in other parts of the UK who may be treating"" [+: Highlights potential harms of assisted dying bill on NHS staff, leans opposed] | 2025-12-18 PQ: Euthanasia: Scotland ""To ask the Secretary of State for Scotland, whether his Department has issued guidance to the Scottish Parliament on its legislative competence in the context of the Assisted Dying for Terminally Ill Adults (Scotland) Bill."" [0: Neutral procedural question on legislative competence] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Third Reading [++: Tracker sign-off (assisted-suicide side no): Voted to reject the Bill at its final Commons stage; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Amendment 94 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Amendment 77 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment 12 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment 24 [++: Tracker sign-off (assisted-suicide side aye): Supported Daniel Francis's amendment requiring a person's mental capacity to be established, rather than presumed, before they could be found eligible; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: New Clause 16 [++: Tracker sign-off (assisted-suicide side aye): Supported Rebecca Paul's clause making a person ineligible if their wish was substantially motivated by feeling a burden, a mental disorder, a disability, financial considerations, lack of access to care, or suicidal ideation; free vote] | 2025-06-13 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: New Clause 2 [++: Tracker sign-off (assisted-suicide side aye): Supported Dame Meg Hillier's clause preventing health professionals from discussing assisted suicide with a person under 18 (added to the Bill); free vote] | 2025-06-13 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: New Clause 1 [++: Tracker sign-off (assisted-suicide side aye): Supported Dame Meg Hillier's clause preventing health professionals from raising assisted suicide with a patient unless the patient raised it first; free vote] | 2025-06-13 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment (b) to New Clause 14 [0: Amendment to end of life bill, effect unclear from title alone; free vote] | 2025-05-16 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill Report Stage: Amendment (a) to New Clause 10 [++: Tracker sign-off (assisted-suicide side aye): Supported Rebecca Paul's amendment to extend the opt-out beyond individuals, so that employers and organisations such as hospices and care homes could decline to take part in assisted suicide; free vote] | 2025-04-01 DEBATE: Spoke: Eating Disorder Awareness (re: Terminally Ill Adults) ""The hon. Member for Bath and I are on different sides on this, and the Minister and I have been debating it over the last month or so, but I have to acknowledge my concern about the Terminally Ill Adults (End of Life) Bill. Currently, there are patients in..."" [+: Voices concern over Terminally Ill Adults (End of Life) Bill and patient safeguards, leaning against assisted dying] | [evidence truncated]",,
"Nigel Farage (Reform UK, Clacton)",,1,0,0,0,0,,"2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Third Reading [++: Tracker sign-off (assisted-suicide side no): Voted to reject the Bill at its final Commons stage; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Amendment 94 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Amendment 77 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment 12 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment 24 [++: Tracker sign-off (assisted-suicide side aye): Supported Daniel Francis's amendment requiring a person's mental capacity to be established, rather than presumed, before they could be found eligible; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: New Clause 16 [++: Tracker sign-off (assisted-suicide side aye): Supported Rebecca Paul's clause making a person ineligible if their wish was substantially motivated by feeling a burden, a mental disorder, a disability, financial considerations, lack of access to care, or suicidal ideation; free vote] | 2025-06-13 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: New Clause 2 [++: Tracker sign-off (assisted-suicide side aye): Supported Dame Meg Hillier's clause preventing health professionals from discussing assisted suicide with a person under 18 (added to the Bill); free vote] | 2025-06-13 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: New Clause 1 [++: Tracker sign-off (assisted-suicide side aye): Supported Dame Meg Hillier's clause preventing health professionals from raising assisted suicide with a patient unless the patient raised it first; free vote] | 2025-06-13 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment (b) to New Clause 14 [0: Amendment to end of life bill, effect unclear from title alone; free vote] | 2025-05-16 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill Report Stage: Amendment (a) to New Clause 10 [++: Tracker sign-off (assisted-suicide side aye): Supported Rebecca Paul's amendment to extend the opt-out beyond individuals, so that employers and organisations such as hospices and care homes could decline to take part in assisted suicide; free vote] | 2024-11-29 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Second Reading [++: Tracker sign-off (assisted-suicide side no): Voted to stop the Bill at its first Commons hurdle; free vote] | TARGETED: Tell Nigel Farage: No to assisted suicide (2024-11-19)",,
